id,title,url
HPND,Historical Permission Notice and Disclaimer,http://spdx.org/licenses/HPND.json
HPND-sell-variant,Historical Permission Notice and Disclaimer - sell variant,http://spdx.org/licenses/HPND-sell-variant.json
HTMLTIDY,HTML Tidy License,http://spdx.org/licenses/HTMLTIDY.json
HaskellReport,Haskell Language Report License,http://spdx.org/licenses/HaskellReport.json
Hippocratic-2.1,Hippocratic License 2.1,http://spdx.org/licenses/Hippocratic-2.1.json
IBM-pibs,IBM PowerPC Initialization and Boot Software,http://spdx.org/licenses/IBM-pibs.json
ICU,ICU License,http://spdx.org/licenses/ICU.json
IJG,Independent JPEG Group License,http://spdx.org/licenses/IJG.json
IPA,IPA Font License,http://spdx.org/licenses/IPA.json
IPL-1.0,IBM Public License v1.0,http://spdx.org/licenses/IPL-1.0.json
ISC,ISC License,http://spdx.org/licenses/ISC.json
ImageMagick,ImageMagick License,http://spdx.org/licenses/ImageMagick.json
Imlib2,Imlib2 License,http://spdx.org/licenses/Imlib2.json
Info-ZIP,Info-ZIP License,http://spdx.org/licenses/Info-ZIP.json
Intel,Intel Open Source License,http://spdx.org/licenses/Intel.json
Intel-ACPI,Intel ACPI Software License Agreement,http://spdx.org/licenses/Intel-ACPI.json
Interbase-1.0,Interbase Public License v1.0,http://spdx.org/licenses/Interbase-1.0.json
JPNIC,Japan Network Information Center License,http://spdx.org/licenses/JPNIC.json
JSON,JSON License,http://spdx.org/licenses/JSON.json
JasPer-2.0,JasPer License,http://spdx.org/licenses/JasPer-2.0.json
LAL-1.2,Licence Art Libre 1.2,http://spdx.org/licenses/LAL-1.2.json
LAL-1.3,Licence Art Libre 1.3,http://spdx.org/licenses/LAL-1.3.json
LGPL-2.0,GNU Library General Public License v2 only,http://spdx.org/licenses/LGPL-2.0.json
LGPL-2.0+,GNU Library General Public License v2 or later,http://spdx.org/licenses/LGPL-2.0+.json
LGPL-2.0-only,GNU Library General Public License v2 only,http://spdx.org/licenses/LGPL-2.0-only.json
